# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.937091 eV
#    Energy (eV)      DOS 
        -13.67290874          0.00000000
        -13.67090874          0.00000000
        -13.66890874          0.00000000
        -13.66690874          0.00000000
        -13.66490874          0.00000000
        -13.66290874          0.00000000
        -13.66090874          0.00000000
        -13.65890874          0.00000000
        -13.65690874          0.00000000
        -13.65490874          0.00000000
        -13.65290874          0.00000000
        -13.65090874          0.00000000
        -13.64890874          0.00000000
        -13.64690874          0.00000000
        -13.64490874          0.00000000
        -13.64290874          0.00000000
        -13.64090874          0.00000000
        -13.63890874          0.00000000
        -13.63690874          0.00000000
        -13.63490874          0.00000000
        -13.63290874          0.00000000
        -13.63090874          0.00000000
        -13.62890874          0.00000000
        -13.62690874          0.00000000
        -13.62490874          0.00000000
        -13.62290874          0.00000000
        -13.62090874          0.00000000
        -13.61890874          0.00000000
        -13.61690874          0.00000000
        -13.61490874          0.00000000
        -13.61290874          0.00000000
        -13.61090874          0.00000000
        -13.60890874          0.00000000
        -13.60690874          0.00000000
        -13.60490874          0.00000000
        -13.60290874          0.00000000
        -13.60090874          0.00000000
        -13.59890874          0.00000000
        -13.59690874          0.00000000
        -13.59490874          0.00000000
        -13.59290874          0.00000000
        -13.59090874          0.00000000
        -13.58890874          0.00000000
        -13.58690874          0.00000000
        -13.58490874          0.00000000
        -13.58290874          0.00000000
        -13.58090874          0.00000000
        -13.57890874          0.00000000
        -13.57690874          0.00000000
        -13.57490874          0.00000000
        -13.57290874          0.00000000
        -13.57090874          0.00000000
        -13.56890874          0.00000000
        -13.56690874          0.00000000
        -13.56490874          0.00000000
        -13.56290874          0.00000000
        -13.56090874          0.00000000
        -13.55890874          0.00000000
        -13.55690874          0.00000000
        -13.55490874          0.00000000
        -13.55290874          0.00000000
        -13.55090874          0.00000000
        -13.54890874          0.00000000
        -13.54690874          0.00000000
        -13.54490874          0.00000000
        -13.54290874          0.00000000
        -13.54090874          0.00000000
        -13.53890874          0.00000000
        -13.53690874          0.00000000
        -13.53490874          0.00000000
        -13.53290874          0.00000000
        -13.53090874          0.00000000
        -13.52890874          0.00000000
        -13.52690874          0.00000000
        -13.52490874          0.00000000
        -13.52290874          0.00000000
        -13.52090874          0.00000000
        -13.51890874          0.00000000
        -13.51690874          0.00000000
        -13.51490874          0.00000000
        -13.51290874          0.00000000
        -13.51090874          0.00000000
        -13.50890874          0.00000000
        -13.50690874          0.00000000
        -13.50490874          0.00000000
        -13.50290874          0.00000000
        -13.50090874          0.00000000
        -13.49890874          0.00000000
        -13.49690874          0.00000000
        -13.49490874          0.00000000
        -13.49290874          0.00000000
        -13.49090874          0.00000000
        -13.48890874          0.00000000
        -13.48690874          0.00000000
        -13.48490874          0.00000000
        -13.48290874          0.00000000
        -13.48090874          0.00000000
        -13.47890874          0.00000000
        -13.47690874          0.00000000
        -13.47490874          0.00000000
        -13.47290874          0.00000000
        -13.47090874          0.00000000
        -13.46890874          0.00000000
        -13.46690874          0.00000000
        -13.46490874          0.00000000
        -13.46290874          0.00000000
        -13.46090874          0.00000000
        -13.45890874          0.00000000
        -13.45690874          0.00000000
        -13.45490874          0.00000000
        -13.45290874          0.00000000
        -13.45090874          0.00000000
        -13.44890874          0.00000000
        -13.44690874          0.00000000
        -13.44490874          0.00000000
        -13.44290874          0.00000000
        -13.44090874          0.00000000
        -13.43890874          0.00000000
        -13.43690874          0.00000000
        -13.43490874          0.00000000
        -13.43290874          0.00000000
        -13.43090874          0.00000000
        -13.42890874          0.00000000
        -13.42690874          0.00000000
        -13.42490874          0.00000000
        -13.42290874          0.00000000
        -13.42090874          0.00000000
        -13.41890874          0.00000000
        -13.41690874          0.00000000
        -13.41490874          0.00000000
        -13.41290874          0.00000000
        -13.41090874          0.00000000
        -13.40890874          0.00000000
        -13.40690874          0.00000000
        -13.40490874          0.00000000
        -13.40290874          0.00000000
        -13.40090874          0.00000000
        -13.39890874          0.00000000
        -13.39690874          0.00000000
        -13.39490874          0.00000000
        -13.39290874          0.00000000
        -13.39090874          0.00000000
        -13.38890874          0.00000000
        -13.38690874          0.00000000
        -13.38490874          0.00000000
        -13.38290874          0.00000000
        -13.38090874          0.00000000
        -13.37890874          0.00000000
        -13.37690874          0.00000000
        -13.37490874          0.00000000
        -13.37290874          0.00000000
        -13.37090874          0.00000000
        -13.36890874          0.00000000
        -13.36690874          0.00000000
        -13.36490874          0.00000000
        -13.36290874          0.00000000
        -13.36090874          0.00000000
        -13.35890874          0.00000000
        -13.35690874          0.00000000
        -13.35490874          0.00000000
        -13.35290874          0.00000000
        -13.35090874          0.00000000
        -13.34890874          0.00000000
        -13.34690874          0.00000000
        -13.34490874          0.00000000
        -13.34290874          0.00000000
        -13.34090874          0.00000000
        -13.33890874          0.00000000
        -13.33690874          0.00000000
        -13.33490874          0.00000000
        -13.33290874          0.00000000
        -13.33090874          0.00000000
        -13.32890874          0.00000000
        -13.32690874          0.00000000
        -13.32490874          0.00000000
        -13.32290874          0.00000000
        -13.32090874          0.00000000
        -13.31890874          0.00000000
        -13.31690874          0.00000000
        -13.31490874          0.00000000
        -13.31290874          0.00000000
        -13.31090874          0.00000000
        -13.30890874          0.00000000
        -13.30690874          0.00000000
        -13.30490874          0.00000000
        -13.30290874          0.00000000
        -13.30090874          0.00000000
        -13.29890874          0.00000000
        -13.29690874          0.00000000
        -13.29490874          0.00000000
        -13.29290874          0.00000000
        -13.29090874          0.00000000
        -13.28890874          0.00000000
        -13.28690874          0.00000000
        -13.28490874          0.00000000
        -13.28290874          0.00000000
        -13.28090874          0.00000000
        -13.27890874          0.00000000
        -13.27690874          0.00000000
        -13.27490874          0.00000000
        -13.27290874          0.00000000
        -13.27090874          0.00000000
        -13.26890874          0.00000000
        -13.26690874          0.00000000
        -13.26490874          0.00000000
        -13.26290874          0.00000000
        -13.26090874          0.00000000
        -13.25890874          0.00000000
        -13.25690874          0.00000000
        -13.25490874          0.00000000
        -13.25290874          0.00000000
        -13.25090874          0.00000000
        -13.24890874          0.00000000
        -13.24690874          0.00000000
